TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20240101241272,2,55,20,2,0,0,0
20240101241272,3,19,22,2,0,0,0
20240101241291,1,47,18,1,0,0,0
20240101241291,2,85,24,1,60,0,0
20240101241294,1,37,18,2,0,0,0
20240101241294,2,8,22,2,0,0,0
20240101241294,3,5,22,1,0,0,0
20240101241316,1,37,18,1,0,0,0
20240101241316,2,36,20,2,0,0,0
20240101241316,3,15,22,1,0,0,0
20240101241316,4,4,22,1,0,0,0
20240101241321,1,64,18,1,0,0,0
20240101241321,2,66,20,2,0,0,0
20240101241321,3,35,22,1,0,0,0
20240101241333,1,57,18,2,0,0,0
20240101241333,2,28,22,1,0,0,0
20240101241333,3,24,22,1,0,0,0
20240101241337,1,78,19,2,0,0,0
20240101241366,1,70,18,1,0,0,0
20240101241366,2,56,20,2,0,0,0
20240101241366,3,24,22,2,0,0,0
20240101241366,4,21,22,1,0,0,0
20240101241373,1,67,18,1,0,0,0
20240101241373,2,65,20,2,0,0,0
20240101241386,1,73,19,1,0,0,0
20240101241390,1,63,18,1,0,0,0
20240101241390,2,59,20,2,0,0,0
20240101241399,1,47,18,2,0,0,0
20240101241399,2,44,20,1,0,0,0
20240101241399,3,16,22,1,0,0,0
20240101241399,4,14,22,1,0,0,0
20240101241399,5,13,22,1,0,0,0
20240101241458,1,72,18,1,0,0,0
20240101241458,2,66,20,2,0,0,0
20240101241466,1,60,18,1,0,0,0
20240101241466,2,59,20,2,0,0,0
20240101241466,3,22,22,2,0,0,0
20240101241466,4,17,22,2,0,0,0
20240101241480,1,41,18,2,0,0,0
20240101241480,2,43,20,1,0,0,0
20240101241480,3,11,22,2,0,0,0
20240101241480,4,7,22,1,0,0,0
20240101241486,1,67,18,2,0,0,0
20240101241486,2,73,20,1,0,0,0
20240101241516,1,28,18,1,0,0,0
20240101241516,2,2,22,2,0,0,0
20240101241516,3,27,21,2,0,0,0
20240101241534,1,75,19,2,0,0,0
20240101241559,1,70,19,2,0,0,0
20240101241561,1,64,18,2,0,0,0
20240101241561,2,68,20,1,0,0,0
20240101241561,3,32,22,2,0,0,0
20240101241568,1,80,19,2,0,0,0
20240101241571,1,35,19,1,0,0,0
20240101241573,1,70,18,2,0,0,0
20240101241573,2,77,20,1,0,0,0
20240101241579,1,41,19,2,0,0,0
20240101241580,1,68,19,2,0,0,0
20240101241607,1,70,19,1,0,0,0
20240101241610,1,41,19,1,0,0,0
20240101241612,1,57,18,2,0,0,0
20240101241612,2,53,20,2,0,0,0
20240101241623,1,49,18,2,0,0,0
20240101241623,2,54,20,1,0,0,0
20240101241624,1,72,19,1,0,0,0
20240101241637,1,64,18,1,0,0,0
20240101241637,2,62,20,2,0,0,0
20240101241674,1,47,18,1,0,0,0
20240101241674,2,50,20,2,0,0,0
20240101241674,3,11,22,1,0,0,0
20240101241674,4,14,22,1,0,0,0
20240101241692,1,37,18,2,0,0,0
20240101241692,2,29,20,1,0,0,0
20240101241692,3,5,22,1,0,0,0
20240101241703,1,80,18,2,0,0,0
20240101241703,2,80,20,1,0,0,0
20240101241713,1,78,19,2,0,0,0
20240101241724,1,34,18,1,0,0,0
20240101241724,2,40,25,1,0,0,0
20240101241724,3,42,25,2,0,0,0
20240101241733,1,80,18,1,0,0,0
20240101241733,2,80,20,2,0,0,0
20240101241777,1,27,18,2,0,0,0
20240101241777,2,28,20,1,0,0,0
20240101241777,3,0,22,1,0,0,0
20240101241796,1,26,19,2,0,0,0
20240101241818,1,52,18,1,0,0,0
20240101241818,2,51,20,2,0,0,0
20240101241818,3,21,22,2,0,0,0
20240101241818,4,19,22,1,0,0,0
20240101241818,5,16,22,2,0,0,0
20240101241819,1,72,19,2,0,0,0
20240101241828,1,41,18,1,0,0,0
20240101241828,2,32,20,2,0,0,0
20240101241828,3,13,22,1,0,0,0
20240101241848,1,73,19,2,0,0,0
20240101241853,1,36,19,2,0,0,0
20240101241868,1,36,18,2,0,0,0
20240101241868,2,39,20,1,0,0,0
20240101241868,3,11,22,1,0,0,0
20240101241868,4,10,22,1,0,0,0
20240101241868,5,7,22,1,0,0,0
20240101241872,1,85,18,2,60,0,0
20240101241872,2,63,30,2,0,0,0
20240101241872,3,66,22,2,0,0,0
20240101241895,1,42,18,2,0,0,0
20240101241895,2,44,20,1,0,0,0
20240101241895,3,1,22,1,0,0,0
20240101241899,1,75,18,1,0,0,0
20240101241899,2,66,20,2,0,0,0
20240101241900,1,43,18,2,0,0,0
20240101241900,2,20,22,2,0,0,0
20240101241900,3,19,22,2,0,0,0
20240101241905,1,36,18,2,0,0,0
20240101241905,2,33,20,1,0,0,0
20240101241907,1,33,18,1,0,0,0
20240101241907,2,37,20,2,0,0,0
20240101241907,3,1,22,1,0,0,0
20240101241916,1,62,18,2,0,0,0
20240101241916,2,63,20,1,0,0,0
20240101241920,1,32,19,1,0,0,0
20240101241936,1,42,18,2,0,0,0
20240101241936,2,41,20,1,0,0,0
20240101241936,3,11,22,2,0,0,0
20240101241936,4,9,22,1,0,0,0
20240101241936,5,6,22,1,0,0,0
20240101241948,1,28,18,2,0,0,0
20240101241948,2,26,21,1,0,0,0
20240101241951,1,44,18,2,0,0,0
20240101241951,2,45,20,1,0,0,0
20240101241951,3,12,22,1,0,0,0
20240101241951,4,10,22,1,0,0,0
20240101241951,5,7,22,1,0,0,0
20240101241951,6,5,22,2,0,0,0
20240101241986,1,68,18,2,0,0,0
20240101241986,2,67,20,1,0,0,0
20240101241990,1,58,18,2,0,0,0
20240101241990,2,63,20,1,0,0,0
20240101242001,1,80,19,2,0,0,0
20240101242003,1,38,18,2,0,0,0
20240101242003,2,44,20,1,0,0,0
20240101242010,1,78,18,2,0,0,0
20240101242010,2,79,20,1,0,0,0
20240101242020,1,78,19,1,0,0,0
20240101242060,1,85,18,1,60,0,0
20240101242060,2,77,20,2,0,0,0
20240101242065,1,63,19,2,0,0,0
20240101242073,1,70,18,1,0,0,0
20240101242073,2,65,26,2,0,0,0
20240101242093,1,59,19,2,0,0,0
20240101242093,2,76,21,1,0,0,0
20240101242124,1,50,18,2,0,0,0
20240101242124,2,54,20,1,0,0,0
20240101242165,1,59,18,1,0,0,0
20240101242165,2,60,20,2,0,0,0
20240101242165,3,25,22,2,0,0,0
20240101242165,4,19,22,1,0,0,0
20240101242179,1,25,19,1,0,0,0
20240101242179,2,26,28,1,0,0,0
20240101242180,1,35,18,1,0,0,0
20240101242180,2,35,20,2,0,0,0
20240101242180,3,7,22,2,0,0,0
20240101242180,4,3,22,2,0,0,0
20240101242186,1,69,18,1,0,0,0
20240101242186,2,70,20,2,0,0,0
20240101242207,1,48,18,2,0,0,0
20240101242207,2,18,22,1,0,0,0
20240101242210,1,37,19,2,0,0,0
20240101242212,1,32,18,1,0,0,0
20240101242212,2,30,21,2,0,0,0
20240101242217,1,30,18,1,0,0,0
20240101242217,2,65,24,1,0,0,0
20240101242217,3,70,24,2,0,0,0
20240101242218,1,49,18,1,0,0,0
20240101242218,2,49,20,2,0,0,0
20240101242218,3,21,22,1,0,0,0
20240101242218,4,18,22,1,0,0,0
20240101242228,1,71,18,2,0,0,0
20240101242228,2,71,20,1,0,0,0
20240101242275,1,67,19,1,0,0,0
20240101242275,2,70,21,2,0,0,0
20240101242285,1,68,18,1,0,0,0
20240101242285,2,58,20,2,0,0,0
20240101242291,1,65,19,1,0,0,0
20240101242294,1,34,19,1,0,0,0
20240101242294,2,32,20,2,0,0,0
20240101242294,3,11,22,1,0,0,0
20240101242294,4,9,40,2,0,0,0
20240101242298,1,80,18,2,0,0,0
20240101242298,2,85,20,1,60,0,0
20240101242316,1,32,18,1,0,0,0
20240101242316,2,30,20,2,0,0,0
20240101242334,1,25,19,2,0,0,0
20240101242334,2,26,21,1,0,0,0
20240101242359,1,32,18,2,0,0,0
20240101242359,2,34,20,1,0,0,0
20240101242361,1,52,18,2,0,0,0
20240101242361,2,13,22,2,0,0,0
20240101242361,3,7,22,1,0,0,0
20240101242362,1,35,18,2,0,0,0
20240101242362,2,40,20,1,0,0,0
20240101242362,3,14,22,1,0,0,0
20240101242362,4,12,22,2,0,0,0
20240101242362,5,13,22,1,0,0,0
20240101242362,6,10,22,2,0,0,0
20240101242362,7,0,22,1,0,0,0
20240101242363,1,42,18,1,0,0,0
20240101242363,2,39,20,2,0,0,0
20240101242363,3,9,22,1,0,0,0
20240101242363,4,6,22,1,0,0,0
20240101242366,1,33,18,2,0,0,0
20240101242366,2,13,22,2,0,0,0
20240101242366,3,11,22,1,0,0,0
20240101242366,4,4,22,1,0,0,0
20240101242378,1,70,19,1,0,0,0
20240110230822,1,32,18,1,0,0,0
20240110230822,2,27,20,2,0,0,0
20240110230840,1,56,18,2,0,0,0
20240110230840,2,52,20,1,0,0,0
20240110230840,3,20,22,1,0,0,0
20240110232026,1,64,18,2,0,0,0
20240110232026,2,60,20,1,0,0,0
20240110232026,3,29,22,2,0,0,0
20240110232026,4,64,26,1,0,0,0
20240110232026,5,64,26,1,0,0,0
20240110232026,6,48,26,1,0,0,0
20240110232026,7,14,26,1,0,0,0
20240110232026,8,38,26,1,0,0,0
20240110232026,9,30,26,1,0,0,0
20240110232026,10,60,25,2,0,0,0
20240110232091,1,40,19,2,0,0,0
20240110232091,2,49,21,1,0,0,0
20240111230012,1,59,19,2,0,0,0
20240111230059,1,36,18,1,0,0,0
20240111230059,2,37,20,2,0,0,0
20240111230059,3,5,22,1,0,0,0
20240111230069,1,40,18,2,0,0,0
20240111230069,2,43,20,1,0,0,0
20240111230069,3,12,22,1,0,0,0
20240111230069,4,8,22,1,0,0,0
20240111230085,1,39,18,2,0,0,0
20240111230085,2,40,20,1,0,0,0
20240111230085,3,6,22,1,0,0,0
20240111230085,4,10,22,1,0,0,0
20240111230085,5,38,25,1,0,0,0
20240111230085,6,28,26,2,0,0,0
20240111230085,7,0,26,2,0,0,0
20240111230092,1,57,18,2,0,0,0
20240111230092,2,63,20,1,0,0,0
20240111230092,3,21,22,1,0,0,0
20240111230132,1,17,18,2,0,0,0
20240111230132,2,45,24,2,0,0,0
20240111230132,3,50,24,1,0,0,0
20240111230142,1,20,19,2,0,0,0
20240111230142,2,21,30,2,0,0,0
20240111230168,1,15,18,2,0,0,0
20240111230168,2,35,24,2,0,0,0
20240111230168,3,38,24,1,0,0,0
20240111230168,4,16,25,1,0,0,0
20240111230168,5,11,25,1,0,0,0
20240111230168,6,10,25,2,0,0,0
20240111230168,7,6,25,1,0,0,0
20240111230168,8,4,25,1,0,0,0
20240111230187,1,16,18,2,0,0,0
20240111230187,2,50,24,2,0,0,0
20240111230201,1,18,18,1,0,0,0
20240111230201,2,50,24,2,0,0,0
20240111230201,3,50,24,1,0,0,0
20240111230201,4,21,25,1,0,0,0
20240111230203,1,19,18,2,0,0,0
20240111230203,2,44,24,2,0,0,0
20240111230203,3,11,25,2,0,0,0
20240111230212,1,23,19,1,0,0,0
20240111230220,1,23,18,1,0,0,0
20240111230220,2,66,24,1,0,0,0
20240111230220,3,64,24,2,0,0,0
20240111230240,1,24,19,2,0,0,0
20240111230240,2,24,29,2,0,0,0
20240111230248,1,24,18,1,0,0,0
20240111230248,2,24,20,2,0,0,0
20240111230248,3,1,22,2,0,0,0
20240111230264,1,22,19,1,0,0,0
20240111230298,1,20,19,1,0,0,0
20240111230298,2,20,28,2,0,0,0
20240111230298,3,21,28,1,0,0,0
20240111230298,4,20,28,2,0,0,0
20240111230322,1,24,19,1,0,0,0
20240111230325,1,24,18,1,0,0,0
20240111230325,2,25,20,2,0,0,0
20240111230327,1,17,18,1,0,0,0
20240111230327,2,50,24,2,0,0,0
20240111230327,3,47,24,1,0,0,0
20240111230327,4,14,25,2,0,0,0
20240111230529,1,67,18,2,0,0,0
20240111230529,2,47,26,1,0,0,0
20240111230529,3,48,22,2,0,0,0
20240111230529,4,16,23,2,0,0,0
20240111230529,5,10,23,1,0,0,0
20240111230571,1,29,18,1,0,0,0
20240111230571,2,62,24,2,0,0,0
20240111230571,3,69,24,1,0,0,0
20240111230571,4,29,21,2,0,0,0
20240111230576,1,39,19,1,0,0,0
20240111230576,2,3,40,1,0,0,0
20240111230576,3,0,40,1,0,0,0
20240111230582,1,51,18,1,0,0,0
20240111230582,2,47,20,2,0,0,0
20240111230582,3,12,22,1,0,0,0
20240111230582,4,10,22,1,0,0,0
20240111230600,1,57,19,2,0,0,0
20240111230600,2,64,21,1,0,0,0
20240111230614,1,38,18,2,0,0,0
20240111230614,2,1,22,2,0,0,0
20240111230639,1,61,18,1,0,0,0
20240111230639,2,61,20,2,0,0,0
20240111230640,1,67,18,2,0,0,0
20240111230640,2,65,20,1,0,0,0
20240111230646,1,55,18,2,0,0,0
20240111230646,2,54,20,1,0,0,0
20240111230652,1,70,19,2,0,0,0
20240111230657,1,80,19,2,0,0,0
20240111230659,1,71,19,1,0,0,0
20240111230671,1,77,18,1,0,0,0
20240111230671,2,74,20,2,0,0,0
20240111230671,3,36,22,2,0,0,0
20240111230671,4,5,23,2,0,0,0
20240111230674,1,68,19,2,0,0,0
20240111230676,1,79,18,1,0,0,0
20240111230676,2,73,20,2,0,0,0
20240111230681,1,36,18,1,0,0,0
20240111230681,2,37,20,2,0,0,0
20240111230681,3,0,22,2,0,0,0
20240111230696,1,49,18,1,0,0,0
20240111230696,2,75,24,1,0,0,0
20240111230722,1,30,18,1,0,0,0
20240111230722,2,29,20,2,0,0,0
20240111230722,3,1,22,2,0,0,0
20240111230768,1,57,18,1,0,0,0
20240111230768,2,48,20,2,0,0,0
20240111230768,3,10,22,1,0,0,0
20240111230768,4,8,22,2,0,0,0
20240111230777,1,63,19,2,0,0,0
20240111230779,1,28,18,1,0,0,0
20240111230779,2,48,20,2,0,0,0
20240111230779,3,18,22,1,0,0,0
20240111230781,1,79,18,1,0,0,0
20240111230781,2,68,20,2,0,0,0
20240111230781,3,45,22,2,0,0,0
20240111230781,5,20,23,1,0,0,0
20240111230795,1,46,18,2,0,0,0
20240111230795,2,48,20,1,0,0,0
20240111230795,3,19,22,1,0,0,0
20240111230803,1,75,18,2,0,0,0
20240111230803,2,79,20,1,0,0,0
20240111230813,1,57,18,2,0,0,0
20240111230813,2,54,20,1,0,0,0
20240111230813,3,18,22,2,0,0,0
20240111230818,1,49,18,2,0,0,0
20240111230818,2,56,20,1,0,0,0
20240111230827,1,39,18,2,0,0,0
20240111230827,2,47,20,1,0,0,0
20240111230827,4,12,22,1,0,0,0
20240111230827,5,9,22,1,0,0,0
20240111230827,6,5,22,1,0,0,0
20240111230862,1,53,18,2,0,0,0
20240111230862,3,27,22,1,0,0,0
20240111230862,4,27,30,2,0,0,0
20240111230864,1,39,18,2,0,0,0
20240111230864,2,40,20,1,0,0,0
20240111230864,3,14,22,2,0,0,0
20240111230864,4,4,22,1,0,0,0
20240111230868,1,71,18,2,0,0,0
20240111230868,2,74,20,1,0,0,0
20240111230868,3,80,26,2,0,0,0
20240111230878,1,37,18,1,0,0,0
20240111230878,2,72,24,1,0,0,0
20240111230878,3,70,24,2,0,0,0
20240111230921,1,25,18,2,0,0,0
20240111230921,2,25,20,1,0,0,0
20240111230922,1,34,18,1,0,0,0
20240111230922,2,34,20,2,0,0,0
20240111230922,3,3,22,2,0,0,0
20240111230922,4,1,22,2,0,0,0
20240111230924,1,44,19,2,0,0,0
20240111230984,1,41,19,1,0,0,0
20240111230985,1,35,18,1,0,0,0
20240111230985,2,34,20,2,0,0,0
20240111230985,3,3,22,1,0,0,0
20240111230985,4,2,22,2,0,0,0
20240111231006,1,30,18,2,0,0,0
20240111231006,2,10,22,1,0,0,0
20240111231006,3,5,22,2,0,0,0
20240111231008,1,64,18,2,0,0,0
20240111231008,2,74,20,1,0,0,0
20240111231009,1,26,18,2,0,0,0
20240111231009,2,28,20,1,0,0,0
20240111231021,1,85,18,1,60,0,0
20240111231021,2,55,22,2,0,0,0
20240111231040,1,71,19,2,0,0,0
20240111231068,1,61,18,1,0,0,0
20240111231068,2,52,20,2,0,0,0
20240111231068,3,23,22,2,0,0,0
20240111231071,1,60,18,1,0,0,0
20240111231071,2,64,20,2,0,0,0
20240111231089,1,47,18,1,0,0,0
20240111231089,2,54,20,2,0,0,0
20240111231089,3,32,22,1,0,0,0
20240111231117,1,80,19,1,0,0,0
20240111231121,1,80,18,1,0,0,0
20240111231121,2,80,20,2,0,0,0
20240111231166,1,80,18,2,0,0,0
20240111231166,2,80,20,1,0,0,0
20240111231204,1,54,19,1,0,0,0
20240111231206,1,53,19,2,0,0,0
20240111231206,2,51,21,1,0,0,0
20240111231207,1,33,18,2,0,0,0
20240111231207,2,31,25,2,0,0,0
20240111231210,1,61,18,1,0,0,0
20240111231210,2,63,29,2,0,0,0
20240111231236,1,85,19,2,60,0,0
20240111231238,1,26,18,2,0,0,0
20240111231238,2,28,20,1,0,0,0
20240111231245,1,68,18,1,0,0,0
20240111231245,2,69,20,2,0,0,0
20240111231248,1,80,18,1,0,0,0
20240111231248,2,76,20,2,0,0,0
20240111231259,1,61,18,2,0,0,0
20240111231259,2,61,20,1,0,0,0
20240111231265,1,40,18,2,0,0,0
20240111231265,2,45,20,1,0,0,0
20240111231265,3,8,22,1,0,0,0
20240111231265,4,5,22,2,0,0,0
20240111231266,1,32,18,2,0,0,0
20240111231266,2,40,21,1,0,0,0
20240111231267,1,44,18,1,0,0,0
20240111231267,2,44,20,2,0,0,0
20240111231267,3,12,22,1,0,0,0
20240111231267,4,6,22,1,0,0,0
20240111231278,1,68,18,2,0,0,0
20240111231278,2,70,20,1,0,0,0
20240111231285,1,68,18,1,0,0,0
20240111231285,2,62,20,2,0,0,0
20240111231308,1,85,19,2,60,0,0
20240111231331,1,36,19,1,0,0,0
20240111231334,1,65,18,2,0,0,0
20240111231334,2,65,20,1,0,0,0
20240111231352,1,77,18,1,0,0,0
20240111231352,2,71,20,2,0,0,0
20240111231362,1,66,18,2,0,0,0
20240111231362,2,75,20,1,0,0,0
20240111231362,3,36,22,2,0,0,0
20240111231362,4,34,22,2,0,0,0
20240111231375,1,69,18,2,0,0,0
20240111231375,2,68,20,1,0,0,0
20240111231380,1,74,18,2,0,0,0
20240111231380,2,75,20,1,0,0,0
20240111231392,1,49,19,2,0,0,0
20240111231402,1,25,18,2,0,0,0
20240111231402,2,27,25,2,0,0,0
20240111231413,1,35,19,1,0,0,0
20240111231419,1,30,18,1,0,0,0
20240111231419,2,29,20,2,0,0,0
20240111231420,1,63,19,1,0,0,0
20240111231420,2,63,20,2,0,0,0
20240111231438,1,42,18,2,0,0,0
20240111231438,2,44,20,1,0,0,0
20240111231438,3,14,22,1,0,0,0
20240111231438,4,12,22,2,0,0,0
20240111231468,1,34,18,2,0,0,0
20240111231468,2,30,20,1,0,0,0
20240111231468,3,6,22,2,0,0,0
20240111231468,4,1,22,1,0,0,0
20240111231492,1,46,18,1,0,0,0
20240111231492,2,46,20,2,0,0,0
20240111231492,3,3,22,1,0,0,0
20240111231492,4,1,22,2,0,0,0
20240111231495,1,64,18,2,0,0,0
20240111231495,2,66,20,1,0,0,0
20240111231506,1,41,18,2,0,0,0
20240111231506,2,41,20,1,0,0,0
20240111231506,3,10,22,1,0,0,0
20240111231506,4,5,22,2,0,0,0
20240111231507,1,76,18,1,0,0,0
20240111231507,2,74,20,2,0,0,0
20240111231510,1,27,18,1,0,0,0
20240111231510,2,28,20,2,0,0,0
20240111231513,1,28,18,2,0,0,0
20240111231513,2,30,20,1,0,0,0
20240111231513,3,2,22,1,0,0,0
20240111231513,4,0,22,1,0,0,0
20240111231526,1,44,18,2,0,0,0
20240111231526,2,40,20,1,0,0,0
20240111231526,3,8,22,1,0,0,0
20240111231541,1,25,19,2,0,0,0
20240111231567,1,38,18,2,0,0,0
20240111231567,2,45,20,1,0,0,0
20240111231567,3,17,22,2,0,0,0
20240111231567,4,9,22,1,0,0,0
20240111231570,1,31,18,2,0,0,0
20240111231570,2,36,20,1,0,0,0
20240111231570,3,8,22,2,0,0,0
20240111231570,4,4,22,2,0,0,0
20240111231577,1,63,18,2,0,0,0
20240111231577,2,66,20,1,0,0,0
20240111231585,1,71,18,2,0,0,0
20240111231585,2,70,20,1,0,0,0
20240111231598,1,78,18,1,0,0,0
20240111231598,2,75,20,2,0,0,0
20240111231625,1,63,18,1,0,0,0
20240111231625,2,55,20,2,0,0,0
20240111231627,1,73,18,2,0,0,0
20240111231627,2,70,20,1,0,0,0
20240111231641,1,68,19,1,0,0,0
20240111231641,2,70,20,2,0,0,0
20240111231642,1,69,18,2,0,0,0
20240111231642,2,68,20,1,0,0,0
20240111231647,1,78,19,2,0,0,0
20240111231649,1,59,18,1,0,0,0
20240111231649,2,66,20,2,0,0,0
20240111231656,1,37,18,1,0,0,0
20240111231656,2,85,20,2,60,0,0
20240111231656,3,10,22,1,0,0,0
20240111231656,4,6,22,2,0,0,0
20240111231656,5,1,22,1,0,0,0
20240111231672,1,71,19,2,0,0,0
20240111231710,1,73,18,2,0,0,0
20240111231710,2,85,20,1,60,0,0
20240111231722,1,59,18,1,0,0,0
20240111231722,2,55,20,2,0,0,0
20240111231724,1,62,19,2,0,0,0
20240111231771,1,65,19,2,0,0,0
20240111231811,1,44,18,1,0,0,0
20240111231811,2,2,22,2,0,0,0
20240111231811,3,6,22,2,0,0,0
20240111231811,4,44,21,2,0,0,0
20240111231832,1,31,19,1,0,0,0
20240111231845,1,38,18,2,0,0,0
20240111231845,2,41,20,1,0,0,0
20240111231845,3,11,22,1,0,0,0
20240111231845,4,6,22,2,0,0,0
20240111231847,1,42,18,2,0,0,0
20240111231847,2,43,20,1,0,0,0
20240111231847,3,8,22,2,0,0,0
